[2026-08-18T21:55:34.247Z] GET http://localhost:4173/logos/tec.png → 200 (1ms, 40922B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/logos/nl.svg → 200 (18ms, 9562B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/logos/seitc.png → 200 (1ms, 24571B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/logos/federico.png → 200 (14ms, 31951B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/projects/lere.jpg → 200 (18ms, 118995B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/projects/mabe.jpg → 200 (18ms, 166913B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/projects/trionda.jpg → 200 (18ms, 130780B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/projects/eco.jpg → 200 (18ms, 52230B)
[2026-08-18T21:55:34.247Z] GET http://localhost:4173/projects/seitc-award.jpg → 200 (18ms, 136955B)
[2026-08-18T21:56:18.412Z] GET http://localhost:4173/ → 200 (2ms, 1006B)
[2026-08-18T21:56:18.424Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400..800&family=IBM+Plex+Mono:wght@400;500&family=Public+Sans:wght@400;500;600&display=swap → 200 (?ms, 9275B)
[2026-08-18T21:56:18.424Z] GET http://localhost:4173/assets/index-D2-mq1zg.js → 200 (6ms, 215007B)
[2026-08-18T21:56:18.424Z] GET http://localhost:4173/assets/index-BHke5wo4.css → 200 (?ms, 10723B)
[2026-08-18T21:56:18.433Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-08-18T21:56:18.433Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (?ms, ?B)
[2026-08-18T21:56:18.433Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (1ms, ?B)
[2026-08-18T21:56:18.434Z] GET https://fonts.gstatic.com/s/publicsans/v21/ijwRs572Xtc6ZYQws9YVwnNGfJ7QwOk1.woff2 → 200 (?ms, ?B)
[2026-08-18T21:56:18.434Z] GET http://localhost:4173/marcelo.jpg → 200 (5ms, 153911B)
[2026-08-18T21:56:18.434Z] GET http://localhost:4173/logos/ibm.png → 200 (5ms, 12841B)
[2026-08-18T21:56:18.434Z] GET http://localhost:4173/logos/tec.png → 200 (5ms, 40922B)
[2026-08-18T21:56:18.434Z] GET http://localhost:4173/logos/nl.svg → 200 (6ms, 9562B)
